"Accession"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"F46"	"F47"	"F48"	"F49"	"F50"	"F51"	"F52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"F63"	"F64"	"F65"	"F66"	"F67"	"F68"	"F69"	"F70"	"F71"	"F72"	"F73"	"F74"	"F75"	"F76"	"F77"	"F78"	"F79"	"F80"	"F81"	"F82"	"F83"	"F84"	"F85"	"F86"	"F87"	"F88"	"F89"	"F90"	"F91"	"F92"	"F93"	"F94"	"F95"	"F96"	"F97"	"F98"	"F99"	"F100"	"F101"	"F102"	"F103"	"F104"	"F105"	"F106"	"F107"	"F108"	"F109"	"F110"	"F111"	"F112"	"F113"	"F114"	"F115"	"F116"	"F117"	"F118"	"F119"	"F120"	"F121"	"F122"	"F123"	"F124"	"F125"	"F126"	"F127"	"F128"	"F129"	"F130"	"F131"	"F132"	"F133"	"F134"	"F135"	"F136"	"F137"	"F138"	"F139"	"F140"	"F141"	"F142"	"F143"	"F144"	"F145"	"F146"	"F147"	"F148"	"F149"	"F150"	"F151"	"F152"	"F153"	"F154"	"F155"	"F156"	"F157"	"F158"	"F159"	"F160"	"F161"	"F162"	"F163"	"F164"	"F165"	"F166"	"F167"	"F168"	"F169"	"F170"	"F171"	"F172"	"F173"	"F174"	"F175"	"F176"	"F177"	"F178"	"F179"	"F180"	"F181"	"F182"	"F183"	"F184"	"F185"	"F186"	"F187"	"F188"	"F189"	"F190"	"F191"	"F192"	"F193"	"F194"	"F195"	"F196"	"F197"	"F198"	"F199"	"F200"
"Q8TC04"	NA	10834828.5169868	NA	9728506.65190705	10934220.438821	13774641.2125065	18971411.5158455	16692210.3694705	NA	NA	13097189.9162863	NA	NA	13533289.8610857	11716088.7393181	10836442.32969	2120241.46592532	11884292.4682281	NA	17001419.498679	NA	NA	2350851.38688793	NA	NA	9892539.82767531	NA	14738455.4701654	10568315.3842275	2735124.96231853	19003950.7572748	NA	6188896.66612052	16879146.9052775	14794812.8909793	NA	NA	2638957.9440356	NA	NA	7495705.8755565	NA	NA	20154080.8630642	17333747.3618581	NA	14400880.7742375	14784450.202868	14032509.1002125	10422846.7076306	6455538.44460677	NA	4855980.13044234	NA	1972583.55168778	NA	16770422.3842946	19001611.3607823	NA	10059472.954598	1754204.15867083	20426155.0458198	7337745.83448627	9473289.14216921	14503923.9506438	NA	NA	19593258.874057	NA	NA	7653952.75829206	8327232.39264276	803513.19271077	NA	19962375.3180955	NA	NA	14508554.2593931	NA	NA	NA	3564785.99026357	NA	5741369.77830238	NA	4956292.44857043	16770922.7488399	NA	NA	NA	NA	12481931.1988274	708044.097125494	4591562.57400153	4220009.51279931	9665112.72143635	NA	1984264.22205289	NA	14911477.9106458	8721500.82505109	20348361.0784547	NA	15866997.0766016	5010183.99703541	NA	2021732.50535874	NA	19396331.3927495	NA	NA	NA	7880217.95117138	NA	3825557.13627326	NA	14180096.593584	NA	NA	5257213.55718918	5103574.88002546	11649541.8583954	15652128.5342055	NA	19384301.501698	16716262.5142001	14920809.4676856	18093363.8963736	NA	15984777.4573382	10737949.8477679	13120116.6452603	13670743.5543841	NA	19223161.0299067	5626223.4491611	13781562.5096483	NA	NA	719980.293545464	NA	NA	NA	6846502.42105902	13633166.3302507	NA	3033842.62920956	934144.946099766	13028516.2148119	1907452.36857288	7181374.55267923	NA	NA	3693256.67150329	NA	NA	NA	6448657.53275377	NA	7366412.0520036	9330096.06025573	NA	NA	7631890.02801043	19340477.9053471	NA	NA	17731674.1722953	NA	4479325.12769689	5111187.46653253	NA	NA	12564814.5500856	8479615.61884538	10886043.5443497	NA	1721480.34500333	8853930.25436675	NA	NA	NA	NA	NA	14739358.6645246	NA	15199433.0193913	NA	15450834.335841	1218566.87739802	10703196.9148274	3933720.89322083	1925806.49498335	NA	12716496.9984976	NA	19344405.8089029	9387747.07607166	6221550.57283869	NA
"Q9BYV2"	NA	5315222.24000799	3821762.66548353	2679053.07934426	7699615.90050677	NA	NA	NA	NA	68525.9361595154	7201000.62772919	1043325.92029947	NA	3633742.77895614	4551647.12872218	8505211.7073968	NA	382948.174711271	NA	15404842.0204504	801876.620158721	3743708.28509622	NA	15549696.7759409	18282060.0068927	17466658.6547172	NA	19756708.0976772	12099403.9599949	4450927.24132603	6767803.15608292	13258529.5831498	NA	NA	19666528.613649	NA	NA	17673045.1586865	8512529.23908798	6777842.56678515	8722064.01591542	1467395.29358352	7670013.63126958	19072756.5401046	12704768.2816777	NA	17258420.3850866	NA	14630774.890104	17539309.1960395	8136120.89733398	NA	NA	NA	6525933.69095599	NA	8546711.94336021	NA	11794074.7354723	NA	12087910.5408968	4697882.92119287	NA	6547802.95062665	12026076.6474548	577194.766624581	16202236.4112349	368579.639008372	2684361.91519352	5494325.36214862	NA	12645990.8175143	NA	NA	15762098.3325019	NA	15334019.6569639	1231737.4066087	NA	15828349.7826882	10130546.3901945	NA	NA	NA	17181661.6363343	5452644.44163188	NA	NA	NA	9557269.42963137	NA	NA	NA	15123682.4229712	NA	12681734.8436071	NA	NA	NA	20200618.8152563	NA	1688503.30838923	NA	NA	10983186.0193928	NA	NA	15127203.751783	10533358.5548285	NA	1359328.52889981	4622429.39242915	NA	NA	10680123.6910373	13801007.5622923	16361149.8249219	NA	NA	NA	NA	4695617.5667759	NA	NA	NA	8737920.18349145	NA	NA	3708260.44158103	17111158.5674022	12277029.233714	NA	NA	NA	NA	15822419.5406306	NA	NA	NA	7354365.84409622	NA	NA	NA	NA	6874496.91135593	2928787.09768399	9948490.27879062	NA	NA	5013321.06365404	7435767.68289697	15202513.7502688	15315229.6530394	NA	NA	12768123.244889	NA	NA	14877015.5452668	NA	NA	NA	NA	19916208.77542	NA	NA	NA	NA	3724234.01057656	18630457.0513696	NA	NA	9867786.62440437	12941206.0087236	NA	8024856.54757942	16829879.2796707	10480110.6822963	2302016.46012509	NA	NA	13084793.0506291	6631511.33331774	NA	NA	16895695.7516972	NA	9900418.0710585	NA	15333774.0666322	951365.467396564	2368947.05601483	NA	210833.530048148	NA	19341097.5413978	NA	1659867.14072453	NA	16905597.3660998
"A0A087WUC6"	NA	4921651.84450103	NA	593602.338289809	NA	16972689.6649337	NA	10976290.1230607	11083226.1044142	NA	691490.891930607	19584323.5134986	264762.851392019	14548369.148301	NA	3540479.6470973	15506387.6673282	NA	NA	6237910.38355841	NA	NA	9533525.82051457	NA	NA	NA	NA	NA	NA	6015469.6161517	NA	NA	18498048.1549303	NA	NA	9418688.11739736	3849035.31692137	12997851.5417192	NA	13057943.1099686	9932237.45315985	13545728.2921369	11828712.4463809	NA	NA	NA	14652501.5759529	14129971.6502022	NA	8939458.26389032	6840391.61341034	NA	2951623.64854918	NA	4221950.87127549	1426946.94045839	NA	7627866.02678655	14853712.0772694	6116411.60598199	NA	NA	NA	660390.579248224	NA	NA	NA	18524015.5054853	NA	NA	NA	18179647.8726332	14786050.7631817	NA	2279820.6158961	12325350.2056894	NA	NA	NA	NA	NA	14858781.6753687	NA	NA	NA	752900.390090432	17125852.4171471	NA	7687679.00934753	5402927.89073657	NA	NA	2880727.33815685	NA	NA	15232556.0416632	NA	2268211.13727213	NA	NA	NA	1962862.73604229	NA	NA	6263722.20292835	8469563.20795353	6250369.18093884	NA	11421943.3704474	NA	NA	2086258.75615131	7429522.35754694	3240611.80127839	11092973.9006875	3924059.43971493	NA	NA	NA	NA	10772252.4659414	7737296.66934222	11843503.1789444	1301212.90381843	NA	NA	4922672.15477047	7435297.97253224	NA	18549469.8386749	11271407.170452	NA	12744534.9908932	1118037.01070894	NA	16610516.2928788	13048755.6113988	NA	19471048.0125222	NA	NA	11293662.995424	NA	NA	16358703.8240195	6261021.42305373	NA	9734984.49602177	9966904.89986087	NA	9939334.23858601	16771368.638213	4547026.0086135	NA	5449594.10321817	7401226.2885469	NA	NA	5070410.68731415	NA	17064825.5061926	3591174.48129476	3369946.1148069	8012588.86059984	NA	NA	NA	NA	12121178.6922986	17208302.3034447	NA	NA	19561700.4712379	6770983.38694751	15060956.1274211	17589947.4185035	202629.444430781	NA	17309043.6658978	5579248.06342929	NA	NA	12545593.2272787	NA	NA	NA	17408974.3913447	NA	NA	NA	951975.943357589	19080443.7349473	NA	NA	NA	NA	NA	NA	2961356.56978852	NA
"O75052"	NA	NA	8695216.85897048	NA	NA	NA	19075617.6762712	13232557.8738197	NA	9826420.39698408	4132824.76425093	12166694.3308978	NA	NA	NA	NA	13718195.8881411	8731834.28176972	12615250.1941923	1920367.27655893	19272626.7799258	19592553.4995669	NA	NA	NA	6347183.75332242	9295250.11314744	9519268.11951753	17836668.5762821	16196053.2888419	NA	6839322.48581102	19662259.2647764	16871058.4842314	NA	19832076.6779105	13296630.8738581	15369687.6091067	NA	NA	NA	NA	NA	5508813.14556442	NA	NA	1209009.80608806	NA	NA	NA	NA	NA	NA	NA	19707023.1193507	NA	NA	19181575.6407979	4991981.18103096	13090352.3257094	8129971.94564434	NA	20007089.869974	NA	14523995.7294858	NA	NA	15712418.8502292	12160760.5628005	NA	2457630.56178162	13415325.8788425	NA	NA	20210748.4944787	2567107.98979273	15235529.4162896	NA	3850565.14230887	NA	NA	14844631.5780641	NA	NA	4046861.40540551	18061456.3347284	NA	6080536.78808408	NA	NA	NA	20210295.8670864	16165047.5225605	2615090.28589136	NA	19798021.2108528	4700305.81487683	11659528.116785	9686434.60269878	11651000.2208079	7160965.82529171	NA	NA	NA	NA	17914487.739842	18776541.3526118	6987308.22657229	NA	NA	NA	13384607.5537959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1640321.4888827	NA	13747186.3062142	NA	17304230.6645132	NA	19595312.1283819	NA	NA	NA	NA	1773250.98295897	13768818.5503489	NA	NA	17996471.2800259	19297582.2950787	NA	9181712.58126291	NA	NA	13932378.7799805	17760312.1910118	NA	14355824.3107103	8100815.9369423	NA	NA	NA	NA	NA	3128980.61015579	NA	6214389.77147152	20344035.6174899	NA	NA	13285582.0688582	NA	NA	NA	NA	NA	NA	1371197.79242554	18869305.4618189	NA	6645095.89382338	NA	NA	NA	17017407.8475387	18430836.6892779	NA	NA	7012271.01269506	546254.924437893	13317066.0013378	1346021.17412102	6587865.74249139	NA	6127875.30832166	11144053.1636251	17575055.4586217	NA	15658404.580355	6574237.85119271	NA	NA	NA	NA	NA	NA	NA	9577127.27636338	NA	NA	NA
"B4DRZ9"	NA	15806937.2807775	NA	2962273.40673326	NA	NA	NA	NA	NA	NA	17755827.6299959	16480313.750362	NA	NA	10644060.1514996	NA	8161227.8370966	7920494.59901031	17509877.1759911	2907062.26288699	14129950.9888466	NA	18417319.1949041	11461053.8651138	6906369.65038484	5213903.82521455	NA	11864269.4020292	NA	9450529.83584206	7984039.54486076	20139039.6436847	7632937.87565076	5138505.57104912	15006753.1930089	20049460.5333473	NA	NA	NA	9549129.13630606	NA	NA	NA	NA	19303533.9075065	20169873.7332309	NA	19920582.1591189	7531987.1635117	NA	16867712.1868891	NA	10941598.4508965	11111396.7253913	19193440.8500918	NA	NA	8815825.18066043	2910166.83854858	12403388.3501151	NA	NA	10307136.7974289	1199100.30687066	15648541.661978	12268608.7130219	11617971.6688012	13532129.0612123	NA	NA	12321287.6131267	NA	NA	3728536.43094176	NA	NA	296509.138356984	NA	10802747.9938146	19046378.3845097	NA	11488824.4114416	NA	9163831.25347598	592494.333842355	5371987.82490093	NA	NA	1361191.01067651	NA	NA	3051953.67777015	5062184.95057573	NA	9526485.44220687	NA	5502709.1377953	1979786.50374293	15608480.3547616	NA	NA	NA	NA	15837647.2689529	3042049.64605562	NA	5353519.39960524	NA	NA	NA	1874413.4716129	8941177.08215146	13194115.6421944	17741646.2694242	18520902.5644015	19888668.7064654	NA	15392057.1476699	NA	5223438.8647244	NA	NA	7188430.21049235	NA	NA	NA	NA	7505488.06142359	8791930.27541308	NA	NA	NA	NA	8114582.46679308	NA	8116710.74344206	19610944.0855136	2714605.66670049	12736232.4236052	2674872.49530951	13932019.1905484	NA	7670229.05754485	6574430.10363072	NA	NA	13971944.8951282	NA	NA	18466476.6710273	NA	NA	NA	10676010.6822927	15838430.9396069	5596353.48165637	NA	NA	NA	NA	1519512.13534411	NA	NA	NA	16908522.4373131	NA	NA	11643562.0899932	9598313.32182324	15380161.8885234	13773666.5313798	NA	7101552.84600264	NA	NA	NA	15813613.51578	NA	3120120.64308353	14631391.4521714	9929361.23734432	9840051.76197911	NA	9625814.93267664	704717.614127786	NA	1001741.75412217	NA	4465797.81656212	NA	14301419.7306045	1839637.10787674	4259525.42589707	8397433.52598509	7256259.01384575	9452637.26555449	NA	4076925.60012084	13214422.1287057	NA
"Q05BZ3"	11218784.1349981	11744367.8490664	NA	16660163.8361791	4281732.38119588	18183891.4447755	NA	13647166.8111711	16486783.3337413	7554411.75778277	10563881.1061558	NA	NA	3773528.63108659	NA	20127109.2288279	NA	4379006.35705888	10348187.8654209	NA	4076786.63799156	4666208.71580631	19860566.1366272	12735083.9101481	3437005.25649538	16270930.3315254	18215338.9319944	NA	19115838.8924818	11835354.4678536	NA	18531209.3735865	4187265.90857961	NA	4298978.00827613	NA	NA	NA	NA	NA	10952498.8529266	NA	NA	NA	NA	NA	2232722.06145716	4343840.60623786	NA	NA	NA	10924009.1039421	NA	15451275.8521635	3517136.6075125	NA	13725549.9079194	16740217.5191527	NA	5528791.07274476	17834179.4301677	NA	NA	NA	NA	15239729.8479784	NA	NA	NA	7682079.2490501	15076238.2262289	NA	14324776.1891259	14624964.6380835	16460020.3354177	18464283.2459172	16244697.1813397	NA	6275281.41764205	4652658.33076253	NA	NA	5860920.44510794	8412859.45961403	NA	NA	13876656.6791942	NA	NA	NA	6702360.10165503	352037.149928786	NA	NA	9742751.32416355	462891.508344828	NA	NA	18939462.0224028	204640.828818502	622900.806609911	NA	14860047.3713548	20291241.7237607	NA	NA	NA	NA	NA	16383474.062678	18900416.309794	NA	NA	6732524.29124022	19367346.6134849	16200989.4732091	886632.074856581	4527931.08076871	NA	19310675.712989	NA	1657074.82657196	NA	18621557.7125665	NA	15880062.6192883	NA	15717364.5230218	NA	1009082.40730724	18956710.3237534	NA	NA	18978012.1384713	NA	NA	4049399.70670244	NA	NA	NA	NA	NA	9796205.7103227	NA	15300156.2710386	15855628.1585873	3057956.24408901	15955900.3008	10752059.5026818	NA	9990476.81796693	NA	7373694.12819962	8830268.43890267	10071677.3061003	1701585.61047122	499424.044474055	NA	13046033.9655537	NA	12024678.3324042	3232309.61942793	15886357.5376018	11960515.0305363	NA	8665427.12909284	NA	6891919.0117275	NA	NA	3348325.07691181	4740741.04409166	6182642.88493705	9921016.99521715	14411116.6962247	NA	NA	3452890.66022257	473518.373442442	NA	10520524.8504426	6695600.21243101	NA	NA	4529330.08104166	NA	17761610.7158076	2001337.10649652	6578939.9607696	NA	5365046.89423697	9611970.21610716	NA	11199381.1997327	9176747.50335569	NA	10604360.7558575	NA	NA	NA
"A0A0A0MSL1"	NA	NA	NA	NA	3169275.74947965	1692801.35570382	1027352.67963963	NA	490253.690737105	4964259.32831229	8175849.38161414	2866930.89169111	NA	16810375.8641696	5348442.27357768	NA	NA	8188702.86227674	NA	15648057.5524282	NA	NA	12682030.1791738	NA	NA	11771158.2705572	19625323.7560787	9824581.85516123	12191541.0860457	16271252.5763426	10507773.1633584	1819417.56370238	NA	19562751.1930051	NA	16998451.1918424	NA	NA	19093532.8607013	NA	20062179.8960216	11318647.989411	11335500.8841892	17919006.8427233	104666.610790049	19004326.0735102	9828634.93074767	9284682.11054817	17850997.9781785	NA	NA	NA	1274016.92114158	16303102.2033946	NA	NA	18920912.5886049	NA	3715655.40339129	NA	NA	NA	NA	NA	NA	NA	NA	NA	19471604.4701258	NA	NA	NA	NA	NA	NA	NA	15706990.209924	NA	NA	4945483.18586375	3438636.71367267	2646716.50192498	NA	12372134.4477109	258110.151871939	11952787.950046	14318704.7770005	NA	NA	NA	19254023.7274836	16171536.7680128	7767968.96553299	6408008.4285308	7719237.90229088	11934838.3284372	19479014.7114415	6584010.03471773	NA	NA	NA	NA	7792304.82560122	4485427.19400285	NA	9868592.01279828	NA	NA	8329295.79206438	NA	11928727.2923811	NA	1581856.60980548	NA	NA	NA	14563445.9183453	5112386.6959562	NA	8217256.4416212	NA	NA	NA	15257211.6388253	18074789.7231958	8398089.80239451	10802708.1795443	18474065.1034486	NA	NA	NA	NA	NA	NA	318474.419559913	1168803.31739833	NA	11015205.6101244	14743663.5973716	10736186.8754953	NA	2699071.36802104	NA	15440367.179881	1562797.3182784	NA	NA	NA	12163115.838368	2046230.98200082	4661764.38304918	NA	2030357.72669386	NA	NA	NA	NA	14052725.165932	13059311.2942723	16376506.5225483	NA	8966969.65819534	18538607.1762142	NA	8938419.19090213	NA	8835990.99674515	NA	NA	13726783.2414276	NA	17011348.7123128	19255593.129217	NA	NA	NA	7454056.74174056	19857596.4165197	19368012.5734177	NA	782522.069200768	17284494.8872776	NA	NA	NA	18893246.0580694	NA	5446154.90591178	NA	NA	NA	14508234.8363594	5063919.7288061	15856082.3372467	NA	NA	11771657.5406503	651711.173008598	NA	17393534.9340924
"B4DZC7"	5814142.14643809	NA	5934327.94769024	NA	NA	17920018.9636347	13874514.6076881	NA	10815720.0464847	16748039.517206	15560323.9598572	17233088.9208194	NA	NA	8562406.30806387	NA	17282987.1317581	5532947.66448228	15900559.6975252	19737785.5888918	9848737.43514762	12462972.2733323	NA	NA	NA	16149823.1204214	6434440.78806419	NA	4102941.1494022	NA	NA	NA	7616502.35262617	14918233.6028833	NA	4188324.71977663	NA	NA	653992.7681456	20343563.9609035	12279617.7560948	2108143.9377233	NA	NA	16575915.603008	6482948.86379337	17281399.8952111	NA	NA	NA	NA	7070605.33789155	NA	NA	NA	NA	5227454.41487333	16680504.6884917	NA	NA	10057688.650023	898602.38011957	17636473.3555131	13691592.1373817	3313705.03426968	11310104.4808343	NA	NA	NA	4775135.10137332	10443293.6123685	9876231.60372556	NA	NA	NA	746169.032761325	NA	NA	NA	18607733.9856882	NA	4995161.32148427	17623225.9624434	NA	NA	1200327.29255568	9686388.17412996	13510233.1825589	NA	20340218.9435945	3547587.64352153	NA	5905224.11105222	NA	1778017.92693683	NA	18866248.6756538	NA	12233492.0460061	NA	12811006.8828013	NA	18765074.6286321	10662366.2124213	NA	NA	NA	6713627.00244202	15693906.4802955	NA	12868505.1701817	NA	3033825.67947479	NA	12270134.3985247	NA	6965028.8566009	17054247.8533794	592839.072032954	NA	NA	NA	19196919.7522232	10088021.685043	NA	3683279.62078819	8189660.27009139	NA	NA	8297549.51937488	NA	NA	3646474.25198271	NA	NA	17571751.2786579	NA	383735.352371051	NA	2488405.67938421	9431498.54801771	4093518.23890698	20326346.5468995	NA	5967892.82413727	11000830.431572	11009698.4357308	NA	NA	6313738.99539162	NA	19008877.9433409	12759679.992899	15492299.6968448	9685367.12629486	NA	5473392.78707675	NA	14912808.179316	NA	NA	12584194.8397059	NA	691163.141542683	NA	13565576.236455	NA	NA	17646610.4437015	15409457.6682977	NA	NA	12853232.0887089	15030049.1996969	12980009.5904216	NA	NA	NA	15291305.0881354	NA	12229027.3564367	NA	NA	NA	NA	17555274.1141036	10637209.7701066	14332983.2202474	5608554.50697553	NA	NA	14808974.5228592	12747015.8286873	10687182.8558562	7795916.99395166	9010851.95525595	NA	NA	NA	72076.0205151299
"Q13829"	NA	11439693.6780218	12819826.935675	NA	NA	527595.631424235	NA	7230653.47969536	9255813.32419053	NA	NA	1050800.78664266	NA	17129978.9162056	5344250.09310732	19637287.5469714	2446127.44488465	1485028.46621371	NA	8932706.43078673	11905328.0978777	NA	17123706.738707	NA	14392621.7613915	12851320.1852744	13870604.7816288	NA	NA	10796184.4731208	NA	3813872.55443091	16883129.5171715	18264809.8973166	7635704.90795581	19315645.8253767	8852812.07627164	NA	NA	NA	411670.699418813	NA	NA	5570034.69771801	10752358.5070428	NA	16183633.3112078	10094956.1298876	19717120.0316237	NA	NA	12990553.6292746	17449961.4148447	15796995.4095653	NA	NA	9408976.39046422	15856111.2783716	NA	NA	213622.080236593	7165300.15607841	NA	20083752.3592697	3303437.09717432	17348422.0872392	NA	17400262.4465631	12189254.2803641	NA	NA	NA	NA	NA	NA	NA	NA	4190896.11160012	NA	NA	NA	NA	16640190.9863056	15922341.5675611	2674413.71519204	NA	19053378.977098	7168107.88297408	NA	3731236.62552234	13661113.7876508	484283.643926224	19880570.7208582	8341331.68832795	NA	NA	NA	2381763.00172295	NA	NA	11853593.6482244	5308287.74282	8462048.87946817	NA	6503001.77522989	NA	8947523.53965003	1146709.77590596	13783046.0872896	NA	NA	NA	18822855.6368272	NA	NA	NA	NA	9117925.60918846	NA	7688417.01754931	16173912.2052945	19394313.1561389	10311006.0050335	NA	11869010.4883825	NA	NA	3893144.43683635	7106218.28666989	13393455.5723044	10266227.2230819	6144172.62581658	8535146.39509879	NA	NA	18725658.9959135	NA	15239542.396855	NA	18530617.3034577	NA	10974988.2435307	4208349.65130286	11190282.0520123	NA	NA	NA	NA	12217719.8371949	NA	1917103.83401216	4797551.37304862	931542.714514617	16231016.6421282	9096276.53428122	9527263.18378466	NA	17318765.0002186	NA	NA	7720794.77016651	NA	NA	5017400.98663059	NA	NA	NA	NA	NA	685507.4499756	NA	5288373.30814698	NA	NA	14276158.1399772	NA	12371048.2989995	NA	6162206.12053738	NA	6237377.43764472	NA	17611403.5985768	14527239.4385822	NA	3530006.93798161	NA	NA	13923027.5418337	NA	NA	11506228.1392905	16035831.4098775	NA	NA	NA	5842675.99233222	5802163.58519817	NA	NA
"Q5VZK9"	NA	NA	NA	5897869.19191969	9820093.62059248	3178446.88360866	NA	7431191.27354291	NA	550610.854002278	10288955.1043534	NA	6928744.97051117	15346554.2570604	16777176.47768	9965652.09937767	10695364.8240207	NA	8478202.42876078	16118667.2190806	NA	NA	NA	3865213.1011941	9268295.58091752	1135893.87510832	3105211.26237662	NA	8020345.77681081	2721605.50744768	20132258.3269886	NA	14666073.32185	13760794.5925417	19564127.2097803	16219168.3730522	NA	NA	13865257.6256745	11038920.6635538	7837214.30894664	4102991.03263341	NA	NA	17963818.505828	6577014.71453427	2675456.694899	NA	2693562.01423986	999126.1654608	NA	NA	17232560.4431261	NA	NA	NA	NA	7872285.7608081	19159074.9392675	11943450.268832	20353647.8063681	6981273.07888511	389465.238285282	7736735.57697116	10733973.9453422	NA	3750358.52447793	NA	19049455.3085967	NA	2890846.40595062	14647915.2261171	NA	11723587.417136	17916438.8294264	NA	NA	NA	16058890.5390256	11585855.390349	5064534.30658391	13804642.1098125	NA	6169394.83043752	15201071.9664289	NA	NA	NA	NA	6620577.17933123	NA	19600054.3234629	19258749.5533654	10485827.7964284	NA	18017910.6293267	7989250.22261657	NA	11948286.0015144	NA	2172731.60156386	13126107.7626567	NA	NA	6830753.03871544	4250179.59815131	NA	NA	13809940.605467	NA	17928131.3198761	NA	4910150.70237664	NA	18428111.8695211	NA	20084543.324686	19020566.1559098	3130560.51387253	2811097.05684476	17512804.417075	12534209.7197397	10354568.5697587	NA	NA	3175766.42247842	1268021.41166064	3688522.83708594	12783650.8959605	NA	9519596.10782986	NA	14953230.9888768	7781673.41138894	10163910.4394079	NA	15073489.0572884	NA	NA	11311388.1068037	18167991.513384	NA	NA	1746140.538865	10404419.4004309	NA	NA	17978923.4603976	NA	NA	NA	3606654.90437144	1759350.4350481	3940474.15862935	NA	17057847.7400719	NA	NA	NA	NA	NA	1416565.28025485	6543266.93131995	446155.22983556	NA	8650235.33687305	8444166.49529687	NA	NA	7901585.58053883	9050495.70989621	NA	11673895.5913451	8599757.26608603	1126770.03083449	17136983.477373	14411226.122418	NA	7034938.35172185	12785925.9529348	NA	11528412.6821101	NA	NA	11156283.6439859	1143764.78090279	NA	NA	NA	5495553.57552358	6845041.7174703	8764794.70174322	6718683.09119349	NA	8665588.63693895	NA	NA	1080183.79902162	NA	18812570.5691745
"Q5SSK0"	20059694.0618149	769466.462237262	1170556.62042305	NA	NA	13235672.3947215	NA	13802663.6969891	NA	NA	9224810.64140941	13171903.2289097	7973758.25068917	NA	12665713.7611074	NA	NA	13604956.827667	196925.040220564	14668469.0160157	18736092.2666795	2202032.47767896	NA	NA	12820141.7239412	NA	3796635.43076897	NA	8167921.66422971	3002482.56017635	11670871.0677295	NA	NA	5322940.72666871	7937107.27579003	NA	NA	10942835.3675463	NA	NA	14747142.1140655	NA	939780.637741179	9702915.69776433	12294812.603264	10218084.9323364	5470874.71411292	NA	NA	NA	NA	1932708.87237637	16150270.8798804	6428250.10919201	14047975.1288625	NA	16687100.2576031	6013109.41079055	7364208.02974033	NA	19477811.8560499	NA	NA	6715303.69380761	11169501.2203689	NA	9285430.15440145	12459966.8645636	NA	NA	NA	NA	NA	18283498.0886288	NA	NA	NA	NA	19762746.5192042	10830290.4039453	4707068.65912199	18998193.0389634	NA	2796573.42773777	1886518.30409422	6003782.46948423	NA	NA	10929315.6033737	NA	NA	NA	9036745.08291282	NA	10454745.1995973	NA	2900577.05263262	NA	5806283.66981466	8302586.93106038	2677220.08591858	NA	6645365.27183724	NA	6695278.85745115	12087865.4066367	NA	NA	NA	9897542.47384643	1418405.72071447	18203271.5773657	NA	664039.264236679	NA	NA	17118841.8507676	NA	NA	NA	18979975.6191589	NA	8916359.45370954	4196835.80401512	NA	12894119.2172674	NA	NA	NA	12081736.36922	NA	18297035.5638942	6431606.22805388	NA	NA	NA	5001238.89585175	18720614.2228468	9066459.29558361	NA	19253337.9912741	13677310.4012611	9482221.40019337	19095689.6073848	6657034.85492497	6473876.27795384	NA	776287.26486802	NA	NA	1631269.17420266	NA	5198708.81149829	NA	10569508.7797447	NA	NA	19306558.1931977	16580490.2802724	NA	NA	NA	NA	14334913.7103367	571032.072421174	NA	NA	10929982.6482418	15192616.5041583	NA	14066060.1675269	NA	11495505.8617471	16655430.882082	17218492.7152512	7741459.51373317	7269639.45900244	NA	14995823.8688879	4176906.32300259	13927465.6219374	NA	77856.0989623083	NA	10215560.9778812	775309.90947106	NA	NA	NA	11666582.2994668	NA	NA	19636797.7700622	6982798.45984469	7428380.7105883	11373572.1916637	16396819.9136258	5898610.69761026	NA	NA
